Marque;reporting+70;Trage;SEGMENT_MODOP;PVFP;CAYVP;NBSTIONS;NBVERSEURS;CAHVP;CAYVPUC;collecte;presta;PM actu;;;;;;;;
MMA Agents;1;+80ans;GP;88464,95;12662330,20;48515,00;892,00;12513184,24;517376,45;13660069,30;10334094,40;92770307,00;;;;;;;;
MMA Agents;1;+80ans;PC;454440,32;49055577,80;20654,00;603,00;49042121,80;2513895,53;50266868,90;41957563,40;358298237,00;;;;;;;;
MMA Agents;1;+80ans;PP;5494,50;983894,24;962,00;26,00;980221,60;31120,00;1010300,03;592488,47;5631955,08;;;;;;;;
MMA Agents;0;0-30ans;GP;261955,62;7797338,62;36202,00;2234,00;7460292,54;1431637,54;11005976,00;572871,43;158700236,00;;;;;;;;
MMA Agents;0;0-30ans;PC;921692,18;14089488,60;4739,00;615,00;14001671,42;3406906,50;14631707,00;214858,34;293846607,00;;;;;;;;
MMA Agents;0;0-30ans;PP;8177,50;399456,86;815,00;95,00;354884,42;124091,84;571468,10;2799,28;5442188,32;;;;;;;;
MMA Agents;0;30-40ans;GP;486326,45;7938757,10;30309,00;1412,00;7549270,40;2105173,37;14373128,20;1916368,41;191858304,00;;;;;;;;
MMA Agents;0;30-40ans;PC;858730,12;11968448,70;1505,00;239,00;11901954,90;3844073,90;12420528,10;689986,37;249869152,00;;;;;;;;
MMA Agents;0;30-40ans;PP;33539,61;554779,52;287,00;64,00;504740,71;167815,15;864412,60;45406,64;15121352,00;;;;;;;;
MMA Agents;1;40-50ans;GP;904036,35;13059994,80;51814,00;2379,00;12345805,00;2832853,90;22063979,20;4186689,93;347045558,00;;;;;;;;
MMA Agents;1;40-50ans;PC;1856072,60;25950100,00;4489,00;784,00;25763550,00;7743272,90;27215536,10;4420807,64;584367223,00;;;;;;;;
MMA Agents;1;40-50ans;PP;110202,86;1655285,92;1089,00;220,00;1550428,64;733489,21;2255295,02;319900,76;41937358,90;;;;;;;;
MMA Agents;0;50-60ans;GP;1204291,70;23798110,00;73818,00;3452,00;22659750,00;4257205,70;33018595,10;10684595,90;553434689,00;;;;;;;;
MMA Agents;0;50-60ans;PC;3908578,83;63569679,00;12424,00;1813,00;63128300,00;15578357,00;66630485,10;25173049,80;1384968773,00;;;;;;;;
MMA Agents;0;50-60ans;PP;123666,44;3172906,50;1942,00;283,00;3066630,85;792035,69;3725909,31;830947,47;56296697,10;;;;;;;;
MMA Agents;0;60-70ans;GP;1137562,92;39730438,00;79810,00;2905,00;38952551,00;4676153,60;44863643,80;20224106,30;652500145,00;;;;;;;;
MMA Agents;0;60-70ans;PC;4686971,02;106806464,00;20191,00;2004,00;106511511,00;24400129,00;108689955,00;57429573,60;1837319792,00;;;;;;;;
MMA Agents;0;60-70ans;PP;67941,47;2561263,20;1825,00;163,00;2518208,00;533200,02;2817946,60;873881,88;34542231,80;;;;;;;;
MMA Agents;1;70-75ans;GP;223801,83;10937787,00;40217,00;946,00;10669409,00;1345861,40;12775039,50;7041606,25;153002499,00;;;;;;;;
MMA Agents;1;70-75ans;PC;1122629,79;34652902,00;12698,00;612,00;34600477,00;7437842,00;35809709,50;23183505,60;492867329,00;;;;;;;;
MMA Agents;1;70-75ans;PP;9003,43;526258,53;841,00;45,00;524218,13;108111,91;540724,36;169789,22;4953299,02;;;;;;;;
MMA Agents;1;75-80ans;GP;82955,52;6382374,10;24654,00;579,00;6193093,00;539438,40;6351186,28;3990428,82;63988609,90;;;;;;;;
MMA Agents;1;75-80ans;PC;325202,75;16847160,00;8801,00;316,00;16835876,00;2503994,80;14891484,40;10601520,80;170676512,00;;;;;;;;
MMA Agents;1;75-80ans;PP;6026,59;434667,45;459,00;18,00;430975,63;86848,33;424217,40;178279,41;3496113,20;;;;;;;;
MMA Banque;1;+80ans;PC;10578,53;819396,66;6277,00;41,00;815908,86;0,00;860767,61;761826,28;5965970,21;;;;;;;;
MMA Banque;0;0-30ans;PC;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
MMA Banque;0;30-40ans;PC;0,00;0,00;68,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
MMA Banque;1;40-50ans;PC;0,00;0,00;163,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
MMA Banque;0;50-60ans;PC;4721,56;99301,90;1566,00;8,00;98648,28;0,00;103940,80;51326,55;2650570,06;;;;;;;;
MMA Banque;0;60-70ans;PC;1089,38;19994,41;2989,00;17,00;16002,51;76,64;46961,70;33228,10;764337,66;;;;;;;;
MMA Banque;1;70-75ans;GP;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
MMA Banque;1;70-75ans;PC;8042,56;344099,05;2107,00;14,00;343514,07;0,00;359701,85;285629,03;5146730,77;;;;;;;;
MMA Banque;1;75-80ans;PC;22,47;83806,50;1730,00;25,00;83741,10;0,00;43292,59;34072,60;538083,31;;;;;;;;
MMA CAP;1;+80ans;GP;3908,76;62416,97;3278,00;8,00;11835,64;269,10;256589,26;140285,89;1045532,67;;;;;;;;
MMA CAP;1;+80ans;PC;-61944,68;12648417,20;11137,00;415,00;12591498,73;1008082,28;13417353,10;10539174,80;94029040,40;;;;;;;;
MMA CAP;0;0-30ans;GP;7256,89;35861,50;4009,00;60,00;32235,46;4068,52;168533,12;38203,55;900013,23;;;;;;;;
MMA CAP;0;0-30ans;PC;507705,02;6295203,39;8269,00;811,00;6095940,71;2430482,61;7498381,01;125346,79;142443510,00;;;;;;;;
MMA CAP;0;30-40ans;GP;21278,58;14732,91;3254,00;28,00;11955,23;1873,01;361462,93;112167,70;555074,46;;;;;;;;
MMA CAP;0;30-40ans;PC;492859,98;5641439,40;3890,00;415,00;5531701,90;2483211,74;6343166,02;354440,73;125378216,00;;;;;;;;
