Marque;Segment;Trage;SEGMENT_MODOP;reporting+70;PVFP;PM actu;collecte;rachatsNBtotactu;DCNBtotactu;prestations;;;;;
MMA Agents;EURO;+80ans;GP;1;79125,9341;8,88E+07;13120525,4;3729626,34;9879507,14;13609133,48;;;;;
MMA Agents;EURO;+80ans;PC;1;398119,347;3,37E+08;47631094,7;10731679,1;39620398,6;50352077,7;;;;;
MMA Agents;EURO;+80ans;PP;1;5028,05648;5389189,88;978780,549;455222,782;570254,857;1025477,639;;;;;
MMA Agents;EURO;0-30ans;GP;0;150204,938;1,21E+08;7728354,95;7639714,8;91326,1049;7731040,905;;;;;
MMA Agents;EURO;0-30ans;PC;0;398521,453;2,12E+08;11000086,9;10717923,4;156668,128;10874591,53;;;;;
MMA Agents;EURO;0-30ans;PP;0;3206,97954;3135930,33;364831,498;386610,579;1459,01012;388069,5891;;;;;
MMA Agents;EURO;30-40ans;GP;0;189148,261;1,31E+08;7425174,96;6371665,47;383196,875;6754862,345;;;;;
MMA Agents;EURO;30-40ans;PC;0;300730,699;1,56E+08;8284180,95;7438915,94;433019,792;7871935,732;;;;;
MMA Agents;EURO;30-40ans;PP;0;18970,9037;10690678,9;602329,096;477193,938;31800,6927;508994,6307;;;;;
MMA Agents;EURO;40-50ans;GP;0;427025,224;2,65E+08;13626689,9;10492965,5;2065039,4;12558004,9;;;;;
MMA Agents;EURO;40-50ans;PC;0;759196,693;3,90E+08;18982033,9;15355602,2;2995490,49;18351092,69;;;;;
MMA Agents;EURO;40-50ans;PP;0;39826,5304;22635538,8;1198827,99;955945,827;194851,319;1150797,146;;;;;
MMA Agents;EURO;50-60ans;GP;0;675289,999;4,45E+08;25138492,8;18160995,6;8046972,45;26207968,05;;;;;
MMA Agents;EURO;50-60ans;PC;0;1880731,5;1,01E+09;49899152,7;34700827,6;18825479,2;53526306,8;;;;;
MMA Agents;EURO;50-60ans;PP;0;60654,7599;38817895,8;2749149,98;2370046,31;598072,691;2968119,001;;;;;
MMA Agents;EURO;60-70ans;GP;0;722867,918;5,65E+08;38791284,8;25952451,8;17275576,4;43228028,2;;;;;
MMA Agents;EURO;60-70ans;PC;0;2259144,74;1,37E+09;83677735,5;51972827,9;42904088,6;94876916,5;;;;;
MMA Agents;EURO;60-70ans;PP;0;37459,9123;26500695,1;2246067,99;1825912,49;678883,669;2504796,159;;;;;
MMA Agents;EURO;70-75ans;GP;1;147396,645;132603199;11274585;5829787,94;6064429,01;11894216,95;;;;;
MMA Agents;EURO;70-75ans;PC;1;573767,218;3,77E+08;28088672,5;13429576,5;17617301;31046877,5;;;;;
MMA Agents;EURO;70-75ans;PP;1;4739,47105;3776880,75;432550,514;342717,344;124044,051;466761,395;;;;;
MMA Agents;EURO;75-80ans;GP;1;62976,5965;57887458,3;5830570,37;2514779,66;3602433,15;6117212,81;;;;;
MMA Agents;EURO;75-80ans;PC;1;211402,12;142837882;12653339,3;5014653,08;8815263,67;13829916,75;;;;;
MMA Agents;EURO;75-80ans;PP;1;3065,02064;2596663,38;336333,927;231003,097;130639,893;361642,99;;;;;
MMA Agents;UC;+80ans;GP;1;9339,01458;3979063,95;539543,881;118338,651;454587,214;572925,865;;;;;
MMA Agents;UC;+80ans;PC;1;56320,9686;21221175,7;2635774,17;459721,743;2337164,77;2796886,513;;;;;
MMA Agents;UC;+80ans;PP;1;466,438582;242765,202;31519,4824;12327,6576;22233,6113;34561,2689;;;;;
MMA Agents;UC;0-30ans;GP;0;59655,2865;37577978,1;1925209,05;1602292,62;31192,0752;1633484,695;;;;;
MMA Agents;UC;0-30ans;PC;0;523170,726;8,16E+07;3631620,09;2923287,77;58190,2122;2981477,982;;;;;
MMA Agents;UC;0-30ans;PP;0;4970,52123;2306257,99;206636,605;209267,505;1340,27418;210607,7792;;;;;
MMA Agents;UC;30-40ans;GP;0;160290,81;6,07E+07;2861214,07;1902960,78;172287,345;2075248,125;;;;;
MMA Agents;UC;30-40ans;PC;0;557999,424;9,37E+07;4136347,1;2806421,55;256966,582;3063388,132;;;;;
MMA Agents;UC;30-40ans;PP;0;14568,7108;4430673,14;262083,506;206406,981;13605,9436;220012,9246;;;;;
MMA Agents;UC;40-50ans;GP;0;273413,563;81777803,2;3739605,09;2305075,4;557321,635;2862397,035;;;;;
MMA Agents;UC;40-50ans;PC;0;1096875,91;1,94E+08;8233502,2;5043029,88;1425317,15;6468347,03;;;;;
MMA Agents;UC;40-50ans;PP;0;70376,332;19301820,1;1056467,03;775624,353;125049,437;900673,79;;;;;
MMA Agents;UC;50-60ans;GP;0;414083,222;107985063;5342879,13;3108305,37;1792728,32;4901033,69;;;;;
MMA Agents;UC;50-60ans;PC;0;2027847,33;373948274;16731332,4;9004031,87;6347570,59;15351602,46;;;;;
MMA Agents;UC;50-60ans;PP;0;63011,679;17478801,3;976759,324;696799,621;232874,775;929674,396;;;;;
MMA Agents;UC;60-70ans;GP;0;364496,534;87930282,2;5165707,13;2792642,89;2646614,8;5439257,69;;;;;
MMA Agents;UC;60-70ans;PC;0;2427826,28;465935550;25012219,6;11858031;14525485;26383516;;;;;
MMA Agents;UC;60-70ans;PP;0;30481,553;8041536,67;571878,614;416578,286;194998,215;611576,501;;;;;
MMA Agents;UC;70-75ans;GP;1;74076,9645;20399300,4;1458308,27;609950,507;963142,567;1573093,074;;;;;
MMA Agents;UC;70-75ans;PC;1;548862,571;115917374;7721036,99;2700629,54;5566204,65;8266834,19;;;;;
MMA Agents;UC;70-75ans;PP;1;4263,95826;1176418,26;108173,847;73261,6353;45745,1697;119006,805;;;;;
MMA Agents;UC;75-80ans;GP;1;19978,9281;6101151,63;520615,914;178161,714;387995,674;566157,388;;;;;
MMA Agents;UC;75-80ans;PC;1;113800,634;27838629,7;2238145,15;631113,31;1786257,09;2417370,4;;;;;
MMA Agents;UC;75-80ans;PP;1;2961,56555;899449,813;87883,4759;49771,9824;47639,5125;97411,4949;;;;;
MMA Agents;Prevoyance;+80ans;GP;1;0;0;0;0;0;0;;;;;
MMA Agents;Prevoyance;0-30ans;GP;0;52095,3908;0;1352412,05;0;450353,252;450353,252;;;;;
MMA Agents;Prevoyance;30-40ans;GP;0;136887,376;0;4086739,14;0;1360884,19;1360884,19;;;;;
MMA Agents;Prevoyance;40-50ans;GP;0;203597,564;0;4697684,16;0;1564328,9;1564328,9;;;;;
MMA Agents;Prevoyance;50-60ans;GP;0;114918,48;0;2537223,09;0;844895,127;844895,127;;;;;
MMA Agents;Prevoyance;60-70ans;GP;0;50198,4712;0;906651,931;0;301915,083;301915,083;;;;;
MMA Agents;Prevoyance;70-75ans;GP;1;2328,22459;0;42146,1715;0;14034,6753;14034,6753;;;;;
MMA Agents;Prevoyance;75-80ans;GP;1;0;0;0;0;0;0;;;;;
MMA Banque;EURO;+80ans;PC;1;10578,5283;5,97E+06;860767,607;120754,113;761826,28;882580,393;;;;;
MMA Banque;EURO;0-30ans;PC;0;0;0;0;0;0;0;;;;;
MMA Banque;EURO;30-40ans;PC;0;0;0;0;0;0;0;;;;;
MMA Banque;EURO;40-50ans;PC;0;0;0;0;0;0;0;;;;;
MMA Banque;EURO;50-60ans;PC;0;4721,56273;2650570,06;103940,804;54798,2712;51326,5481;106124,8193;;;;;
MMA Banque;EURO;60-70ans;PC;0;1037,59933;754215,818;46323,3816;15752,1238;32667,676;48419,7998;;;;;
MMA Banque;EURO;70-75ans;GP;1;0;0,00E+00;0;0;0;0;;;;;
MMA Banque;EURO;70-75ans;PC;1;8042,56108;5146730,77;359701,851;103845,756;285629,031;389474,787;;;;;
MMA Banque;EURO;75-80ans;PC;1;22,4688914;5,38E+05;43292,5862;10866,3011;34072,5966;44938,8977;;;;;
MMA Banque;UC;+80ans;PC;1;0;0;0;0;0;0;;;;;
MMA Banque;UC;0-30ans;PC;0;0;0,00E+00;0;0;0;0;;;;;
MMA Banque;UC;30-40ans;PC;0;0;0;0;0;0;0;;;;;
MMA Banque;UC;40-50ans;PC;0;0;0,00E+00;0;0;0;0;;;;;
MMA Banque;UC;50-60ans;PC;0;0;0;0;0;0;0;;;;;
MMA Banque;UC;60-70ans;PC;0;51,7797856;10121,8417;638,315252;68,5845813;560,422358;629,0069393;;;;;
MMA Banque;UC;70-75ans;PC;1;0;0;0;0;0;0;;;;;
MMA Banque;UC;75-80ans;PC;1;0;0;0;0;0;0;;;;;
MMA CAP;EURO;+80ans;GP;1;3882,84928;1043784,02;256295,655;43981,2955;140019,975;184001,2705;;;;;
MMA CAP;EURO;+80ans;PC;1;-67295,2511;8,47E+07;12303616;3040881,22;9593393,38;12634274,6;;;;;
MMA CAP;EURO;0-30ans;GP;0;312,288438;810727,146;51278,3093;47999,6305;617,142325;48616,77283;;;;;
MMA CAP;EURO;0-30ans;PC;0;91426,9148;7,63E+07;4374389,94;4208346,47;61289,8065;4269636,277;;;;;
MMA CAP;EURO;30-40ans;GP;0;317,004907;497631,378;27837,6896;22213,4807;1731,16242;23944,64312;;;;;
MMA CAP;EURO;30-40ans;PC;0;66105,8525;5,90E+07;3438670,96;3112177,65;165202,072;3277379,722;;;;;
MMA CAP;EURO;40-50ans;GP;0;6495,86315;7027795,86;415525,895;255154,855;70040,5603;325195,4153;;;;;
MMA CAP;EURO;40-50ans;PC;0;157151,66;119057749;5984616,92;4763266,44;959110,9;5722377,34;;;;;
MMA CAP;EURO;50-60ans;GP;0;37218,3047;36073938,8;2667243,97;1487980,55;747643,693;2235624,243;;;;;
MMA CAP;EURO;50-60ans;PC;0;393380,993;334162087;17558388,8;12759139;6074001,19;18833140,19;;;;;
MMA CAP;EURO;60-70ans;GP;0;32956,0233;20926538,5;2324663,97;1057743,06;860846,998;1918590,058;;;;;
MMA CAP;EURO;60-70ans;PC;0;320452,095;368178586;23618154,7;15457971,6;11079942,2;26537913,8;;;;;
MMA CAP;EURO;70-75ans;GP;1;23715,471;8697483,93;1342300,4;393058,766;571185,086;964243,852;;;;;
MMA CAP;EURO;70-75ans;PC;1;51447,4066;9,69E+07;7521207,46;3887484,23;4210963,41;8098447,64;;;;;
MMA CAP;EURO;75-80ans;GP;1;15527,912;4769211,42;892462,917;227897,275;406754,591;634651,866;;;;;
MMA CAP;EURO;75-80ans;PC;1;6621,71118;37446729,4;3568682,25;1471141,55;2321120,23;3792261,78;;;;;
MMA CAP;UC;+80ans;GP;1;25,9104692;1,75E+03;293,60893;43,8304858;265,916566;309,7470518;;;;;
MMA CAP;UC;+80ans;PC;1;5350,5693;9279629,21;1113737,17;216297,546;945781,473;1162079,019;;;;;
MMA CAP;UC;0-30ans;GP;0;-178,081027;8,93E+04;4525,9091;3662,75898;47,6841657;3710,443146;;;;;
MMA CAP;UC;0-30ans;PC;0;416278,103;66167138,2;3123991,07;2342890,4;64056,9867;2406947,387;;;;;
MMA CAP;UC;30-40ans;GP;0;-70,8056532;5,74E+04;2410,14905;1456,80678;141,899911;1598,706691;;;;;
MMA CAP;UC;30-40ans;PC;0;426754,125;66337164;2904495,07;1945059,84;189238,658;2134298,498;;;;;
MMA CAP;UC;40-50ans;GP;0;-104,775418;2,77E+05;12649,7703;7999,74824;1641,97331;9641,72155;;;;;
MMA CAP;UC;40-50ans;PC;0;946927,282;149009425;6451441,15;3795919,19;1118350,54;4914269,73;;;;;
MMA CAP;UC;50-60ans;GP;0;376,266459;504532,213;27450,1506;13962,7101;8913,70682;22876,41692;;;;;
MMA CAP;UC;50-60ans;PC;0;2272294,53;3,68E+08;16856991,4;8928901,37;6406336,44;15335237,81;;;;;
